"DateTime","Pre Open BELEQN","BELEQN"
"2026-04-20 09:00:59",457.75,
"2026-04-20 09:01:59",459,
"2026-04-20 09:02:59",458,
"2026-04-20 09:03:59",460,
"2026-04-20 09:04:58",460,
"2026-04-20 09:05:59",461,
"2026-04-20 09:06:59",461.5,
"2026-04-20 09:07:33",462,
"2026-04-20 09:15:58",,459.8
"2026-04-20 09:16:59",,457.55
"2026-04-20 09:17:56",,458.8
"2026-04-20 09:18:59",,458.6
"2026-04-20 09:19:59",,460.85
"2026-04-20 09:20:59",,462.8
"2026-04-20 09:21:59",,463.7
"2026-04-20 09:22:59",,463.8
"2026-04-20 09:23:55",,463.35
"2026-04-20 09:24:54",,463.25
"2026-04-20 09:25:58",,463.15
"2026-04-20 09:26:54",,461.65
"2026-04-20 09:27:59",,461.65
"2026-04-20 09:28:54",,462
"2026-04-20 09:29:59",,461.9
"2026-04-20 09:30:58",,460.65
"2026-04-20 09:31:53",,461
"2026-04-20 09:32:59",,459.85
"2026-04-20 09:33:59",,460.4
"2026-04-20 09:34:59",,459.6
"2026-04-20 09:35:59",,460.3
"2026-04-20 09:36:58",,460.15
"2026-04-20 09:37:58",,459.85
"2026-04-20 09:38:55",,459.6
"2026-04-20 09:39:56",,460.2
"2026-04-20 09:40:54",,460.5
"2026-04-20 09:41:54",,460.2
"2026-04-20 09:42:54",,460.4
"2026-04-20 09:43:53",,460
"2026-04-20 09:44:52",,459.7
"2026-04-20 09:45:59",,459.9
"2026-04-20 09:46:57",,459.75
"2026-04-20 09:47:56",,459.5
"2026-04-20 09:48:55",,459.35
"2026-04-20 09:49:45",,459.75
"2026-04-20 09:50:58",,459.35
"2026-04-20 09:51:53",,459.3
"2026-04-20 09:52:56",,459.8
"2026-04-20 09:53:59",,459.95
"2026-04-20 09:54:56",,460.05
"2026-04-20 09:55:54",,460.05
"2026-04-20 09:56:58",,459.55
"2026-04-20 09:57:47",,459.65
"2026-04-20 09:58:55",,459.5
"2026-04-20 09:59:48",,459.2
"2026-04-20 10:00:55",,459
"2026-04-20 10:01:55",,458.85
"2026-04-20 10:02:54",,458.95
"2026-04-20 10:03:54",,459.3
"2026-04-20 10:04:54",,459.1
"2026-04-20 10:05:59",,459.45
"2026-04-20 10:06:55",,459.45
"2026-04-20 10:07:58",,459.6
"2026-04-20 10:08:56",,459.9
"2026-04-20 10:09:54",,459.9
"2026-04-20 10:10:59",,459.2
"2026-04-20 10:11:56",,459.1
"2026-04-20 10:12:53",,458.7
"2026-04-20 10:13:57",,458.9
"2026-04-20 10:14:58",,459.15
"2026-04-20 10:15:54",,459.6
"2026-04-20 10:16:59",,459.85
"2026-04-20 10:17:54",,459.6
"2026-04-20 10:18:59",,459.9
"2026-04-20 10:19:49",,459.95
"2026-04-20 10:20:55",,460.25
"2026-04-20 10:21:59",,460.25
"2026-04-20 10:22:43",,460.55
"2026-04-20 10:23:58",,460.45
"2026-04-20 10:24:56",,460.5
"2026-04-20 10:25:54",,460.3
"2026-04-20 10:26:54",,460.55
"2026-04-20 10:27:59",,460.55
"2026-04-20 10:28:56",,460.8
"2026-04-20 10:29:59",,460.85
"2026-04-20 10:30:55",,461.15
"2026-04-20 10:31:57",,461.25
"2026-04-20 10:32:59",,461.3
"2026-04-20 10:33:59",,461.65
"2026-04-20 10:34:52",,461.5
"2026-04-20 10:35:59",,461.65
"2026-04-20 10:36:52",,461.45
"2026-04-20 10:37:59",,461.65
"2026-04-20 10:38:59",,461.4
"2026-04-20 10:39:59",,461.9
"2026-04-20 10:40:59",,462.35
"2026-04-20 10:41:58",,462.3
"2026-04-20 10:42:59",,462.05
"2026-04-20 10:43:55",,462.3
"2026-04-20 10:44:57",,462.2
"2026-04-20 10:45:59",,462.05
"2026-04-20 10:46:57",,461.9
"2026-04-20 10:47:57",,462.5
"2026-04-20 10:48:59",,462.2
"2026-04-20 10:49:59",,462.45
"2026-04-20 10:50:57",,462.4
"2026-04-20 10:51:55",,462.25
"2026-04-20 10:52:58",,462.15
"2026-04-20 10:53:56",,462.15
"2026-04-20 10:54:56",,462.2
"2026-04-20 10:55:45",,462.05
"2026-04-20 10:56:55",,461.7
"2026-04-20 10:57:59",,461.75
"2026-04-20 10:58:56",,461.9
"2026-04-20 10:59:56",,461.8
"2026-04-20 11:00:56",,461.6
"2026-04-20 11:01:56",,461.4
"2026-04-20 11:02:57",,461.35
"2026-04-20 11:03:59",,461.3
"2026-04-20 11:04:59",,461.7
"2026-04-20 11:05:57",,461.75
"2026-04-20 11:06:55",,461.6
"2026-04-20 11:07:52",,461.6
"2026-04-20 11:08:54",,461.65
"2026-04-20 11:09:57",,461.65
"2026-04-20 11:10:55",,461.55
"2026-04-20 11:11:59",,461.65
"2026-04-20 11:12:58",,461.75
"2026-04-20 11:13:58",,461.7
"2026-04-20 11:14:51",,461.55
"2026-04-20 11:15:56",,461.55
"2026-04-20 11:16:56",,461.7
"2026-04-20 11:17:59",,461.4
"2026-04-20 11:18:57",,461.65
"2026-04-20 11:19:50",,461.5
"2026-04-20 11:20:55",,461.5
"2026-04-20 11:21:56",,461.9
"2026-04-20 11:22:55",,461.85
"2026-04-20 11:23:59",,462.2
"2026-04-20 11:24:59",,462.35
"2026-04-20 11:25:58",,462.35
"2026-04-20 11:26:50",,462.25
"2026-04-20 11:27:57",,462.4
"2026-04-20 11:28:57",,462.4
"2026-04-20 11:29:58",,462.6
"2026-04-20 11:30:59",,462.5
"2026-04-20 11:31:59",,462.35
"2026-04-20 11:32:59",,462.6
"2026-04-20 11:33:59",,462.6
"2026-04-20 11:34:57",,462.45
"2026-04-20 11:35:56",,462.35
"2026-04-20 11:36:55",,462.4
"2026-04-20 11:37:55",,462.25
"2026-04-20 11:38:59",,462.3
"2026-04-20 11:39:59",,462.55
"2026-04-20 11:40:58",,462.5
"2026-04-20 11:41:59",,462.4
"2026-04-20 11:42:59",,462.4
"2026-04-20 11:43:55",,462.45
"2026-04-20 11:44:57",,462.2
"2026-04-20 11:45:58",,462.2
"2026-04-20 11:46:57",,462.15
"2026-04-20 11:47:45",,462.25
"2026-04-20 11:48:56",,462.15
"2026-04-20 11:49:57",,462.15
"2026-04-20 11:50:45",,462.3
"2026-04-20 11:51:56",,462.1
"2026-04-20 11:52:59",,461.9
"2026-04-20 11:53:45",,461.8
"2026-04-20 11:54:57",,462.05
"2026-04-20 11:55:52",,462
"2026-04-20 11:56:59",,462.05
"2026-04-20 11:57:59",,462.15
"2026-04-20 11:58:59",,462.2
"2026-04-20 11:59:55",,461.75
"2026-04-20 12:00:51",,461.9
"2026-04-20 12:01:48",,461.85
"2026-04-20 12:02:59",,461.8
"2026-04-20 12:03:58",,461.65
"2026-04-20 12:04:58",,461.75
"2026-04-20 12:05:57",,461.5
"2026-04-20 12:06:57",,461.4
"2026-04-20 12:07:45",,461.35
"2026-04-20 12:08:57",,461.55
"2026-04-20 12:09:58",,461.45
"2026-04-20 12:10:59",,460.8
"2026-04-20 12:11:59",,461
"2026-04-20 12:12:49",,461.05
"2026-04-20 12:13:59",,460.9
"2026-04-20 12:14:54",,460.75
"2026-04-20 12:15:55",,461
"2026-04-20 12:16:58",,461.05
"2026-04-20 12:17:53",,461
"2026-04-20 12:18:37",,460.85
"2026-04-20 12:19:58",,460.9
"2026-04-20 12:20:58",,461
"2026-04-20 12:21:59",,461.5
"2026-04-20 12:22:59",,461.45
"2026-04-20 12:23:55",,461.25
"2026-04-20 12:24:59",,460.95
"2026-04-20 12:25:56",,461.1
"2026-04-20 12:26:59",,461.8
"2026-04-20 12:27:56",,461.75
"2026-04-20 12:28:59",,461.7
"2026-04-20 12:29:51",,461.7
"2026-04-20 12:30:56",,461.85
"2026-04-20 12:31:57",,461.55
"2026-04-20 12:32:57",,461.6
"2026-04-20 12:33:57",,461.8
"2026-04-20 12:34:54",,461.85
"2026-04-20 12:35:57",,461.7
"2026-04-20 12:36:56",,461.5
"2026-04-20 12:37:46",,461.7
"2026-04-20 12:38:51",,461.75
"2026-04-20 12:39:55",,461.75
"2026-04-20 12:40:50",,461.75
"2026-04-20 12:41:55",,461.9
"2026-04-20 12:42:59",,462.25
"2026-04-20 12:43:59",,462.05
"2026-04-20 12:44:55",,462.15
"2026-04-20 12:45:45",,462.15
"2026-04-20 12:46:56",,462
"2026-04-20 12:47:56",,462
"2026-04-20 12:48:50",,462
"2026-04-20 12:49:55",,462.15
"2026-04-20 12:50:57",,462.15
"2026-04-20 12:51:54",,462.4
"2026-04-20 12:52:59",,462.4
"2026-04-20 12:53:56",,462.4
"2026-04-20 12:54:56",,462.3
"2026-04-20 12:55:43",,462.05
"2026-04-20 12:56:59",,461.95
"2026-04-20 12:57:59",,461.65
"2026-04-20 12:58:59",,461.25
"2026-04-20 12:59:59",,461.7
"2026-04-20 13:00:58",,461.2
"2026-04-20 13:01:56",,461.2
"2026-04-20 13:02:57",,461.3
"2026-04-20 13:03:55",,461.4
"2026-04-20 13:04:58",,461.55
"2026-04-20 13:05:56",,461.25
"2026-04-20 13:06:57",,461
"2026-04-20 13:07:54",,461.3
"2026-04-20 13:08:57",,461
"2026-04-20 13:09:59",,461.2
"2026-04-20 13:10:57",,460.5
"2026-04-20 13:11:55",,460.3
"2026-04-20 13:12:53",,460.8
"2026-04-20 13:13:55",,460.9
"2026-04-20 13:14:53",,460.75
"2026-04-20 13:15:59",,460.55
"2026-04-20 13:16:57",,460.8
"2026-04-20 13:17:50",,460.7
"2026-04-20 13:18:55",,460.85
"2026-04-20 13:19:57",,460.55
"2026-04-20 13:20:58",,460.55
"2026-04-20 13:21:50",,460.4
"2026-04-20 13:22:58",,460.05
"2026-04-20 13:23:59",,459.55
"2026-04-20 13:24:59",,459.5
"2026-04-20 13:25:58",,459.05
"2026-04-20 13:26:59",,458.75
"2026-04-20 13:27:54",,458.6
"2026-04-20 13:28:55",,458.7
"2026-04-20 13:29:59",,459.5
"2026-04-20 13:30:59",,459.3
"2026-04-20 13:31:44",,459.15
"2026-04-20 13:32:57",,459.05
"2026-04-20 13:33:57",,459
"2026-04-20 13:34:56",,459.2
"2026-04-20 13:35:56",,459.2
"2026-04-20 13:36:58",,459.15
"2026-04-20 13:37:59",,459.4
"2026-04-20 13:38:59",,459.4
"2026-04-20 13:39:59",,458.85
"2026-04-20 13:40:59",,459
"2026-04-20 13:41:55",,458.85
"2026-04-20 13:42:57",,458.9
"2026-04-20 13:43:50",,459.35
"2026-04-20 13:44:54",,459.35
"2026-04-20 13:45:58",,459.05
"2026-04-20 13:46:58",,458.8
"2026-04-20 13:47:55",,458.95
"2026-04-20 13:48:59",,459.15
"2026-04-20 13:49:59",,459.1
"2026-04-20 13:50:52",,459.05
"2026-04-20 13:51:51",,458.8
"2026-04-20 13:52:59",,458.95
"2026-04-20 13:53:56",,458.95
"2026-04-20 13:54:56",,458.85
"2026-04-20 13:55:56",,458.75
"2026-04-20 13:56:55",,458.8
"2026-04-20 13:57:59",,459.05
"2026-04-20 13:58:56",,458.95
"2026-04-20 13:59:57",,459.2
"2026-04-20 14:00:54",,459.05
"2026-04-20 14:01:55",,459.15
"2026-04-20 14:02:59",,459.2
"2026-04-20 14:03:59",,459.2
"2026-04-20 14:04:59",,459.25
"2026-04-20 14:05:59",,459.2
"2026-04-20 14:06:59",,458.95
"2026-04-20 14:07:59",,458.75
"2026-04-20 14:08:59",,458.35
"2026-04-20 14:09:59",,458.15
"2026-04-20 14:10:46",,458.3
"2026-04-20 14:11:54",,458.45
"2026-04-20 14:12:55",,458.6
"2026-04-20 14:13:56",,458.55
"2026-04-20 14:14:54",,458.55
"2026-04-20 14:15:57",,458.8
"2026-04-20 14:16:59",,458.85
"2026-04-20 14:17:58",,459
"2026-04-20 14:18:57",,459.2
"2026-04-20 14:19:59",,459.1
"2026-04-20 14:20:59",,458.6
"2026-04-20 14:21:59",,458.7
"2026-04-20 14:22:59",,458.7
"2026-04-20 14:23:59",,458.75
"2026-04-20 14:24:59",,459
"2026-04-20 14:25:59",,459.3
"2026-04-20 14:26:50",,459.25
"2026-04-20 14:27:56",,459.65
"2026-04-20 14:28:59",,459.6
"2026-04-20 14:29:57",,459.65
"2026-04-20 14:30:52",,459.7
"2026-04-20 14:31:46",,459.7
"2026-04-20 14:32:59",,459.5
"2026-04-20 14:33:59",,459.7
"2026-04-20 14:34:56",,459.55
"2026-04-20 14:35:57",,459.45
"2026-04-20 14:36:56",,459.8
"2026-04-20 14:37:59",,459.65
"2026-04-20 14:38:53",,459.6
"2026-04-20 14:39:53",,459.2
"2026-04-20 14:40:59",,459.6
"2026-04-20 14:41:54",,459.55
"2026-04-20 14:42:59",,459.55
"2026-04-20 14:43:56",,459.35
"2026-04-20 14:44:59",,459.5
"2026-04-20 14:45:54",,459.35
"2026-04-20 14:46:58",,459.4
"2026-04-20 14:47:58",,459.25
"2026-04-20 14:48:56",,459.4
"2026-04-20 14:49:57",,459.55
"2026-04-20 14:50:56",,459.25
"2026-04-20 14:51:58",,459.15
"2026-04-20 14:52:59",,459.1
"2026-04-20 14:53:58",,459.1
"2026-04-20 14:54:58",,459.05
"2026-04-20 14:55:53",,459
"2026-04-20 14:56:51",,458.7
"2026-04-20 14:57:58",,458.85
"2026-04-20 14:58:58",,458.95
"2026-04-20 14:59:56",,458.85
"2026-04-20 15:00:54",,458.7
"2026-04-20 15:01:59",,459.15
"2026-04-20 15:02:58",,458.8
"2026-04-20 15:03:48",,458.55
"2026-04-20 15:04:59",,458.75
"2026-04-20 15:05:58",,458.65
"2026-04-20 15:06:59",,458.6
"2026-04-20 15:07:59",,458.55
"2026-04-20 15:08:59",,458.45
"2026-04-20 15:09:59",,458.4
"2026-04-20 15:10:59",,458.3
"2026-04-20 15:11:59",,458.2
"2026-04-20 15:12:59",,458.3
"2026-04-20 15:13:59",,458.3
"2026-04-20 15:14:58",,458.15
"2026-04-20 15:15:59",,457.6
"2026-04-20 15:16:59",,457.6
"2026-04-20 15:17:59",,457
"2026-04-20 15:18:59",,456.2
"2026-04-20 15:19:59",,456.5
"2026-04-20 15:20:59",,456.7
"2026-04-20 15:21:59",,457.4
"2026-04-20 15:22:58",,457.05
"2026-04-20 15:23:59",,456.7
"2026-04-20 15:24:59",,456.45
"2026-04-20 15:25:59",,456.45
"2026-04-20 15:26:59",,456.75
"2026-04-20 15:27:59",,457
"2026-04-20 15:28:59",,457
"2026-04-20 15:29:55",,457.95
"2026-04-20 15:30:02",,457.7
"2026-04-20 15:31:27",,457.55
"2026-04-20 15:40:57",,457.55
"2026-04-20 15:41:54",,457.55
"2026-04-20 15:42:55",,457.55
"2026-04-20 15:43:52",,457.55
"2026-04-20 15:44:52",,457.55
"2026-04-20 15:45:48",,457.55
"2026-04-20 15:47:30",,457.55
"2026-04-20 15:49:59",,457.55
"2026-04-20 15:50:57",,457.55
"2026-04-20 15:51:46",,457.55
"2026-04-20 15:52:58",,457.55
"2026-04-20 15:53:59",,457.55
"2026-04-20 15:54:37",,457.55
"2026-04-20 15:56:51",,457.55
"2026-04-20 15:58:24",,457.55
"2026-04-20 15:59:38",,457.55